model	sample_id	image_id	t_star	t_bad
blip2	34	1	1	9
blip2	34	1	1	10
blip2	34	2	1	2
blip2	34	2	1	3
blip2	34	2	1	4
blip2	34	2	1	5
blip2	34	2	1	6
blip2	34	2	1	7
blip2	34	2	1	8
blip2	34	2	1	9
blip2	34	2	1	10
blip2	35	1	1	6
blip2	35	1	1	7
blip2	35	1	1	8
blip2	35	1	1	9
blip2	35	1	1	10
blip2	35	1	1	11
blip2	35	1	1	12
blip2	35	1	1	13
blip2	35	1	1	14
blip2	35	1	1	15
blip2	35	2	3	4
blip2	35	2	3	6
blip2	35	2	3	7
blip2	35	2	3	8
blip2	35	2	3	9
blip2	35	2	3	10
blip2	35	2	3	11
blip2	35	2	3	12
blip2	35	2	3	13
blip2	35	2	3	14
blip2	35	2	3	15
blip2	36	1	1	2
blip2	36	1	1	3
blip2	36	1	1	4
blip2	36	1	1	5
blip2	36	1	1	6
blip2	36	1	1	7
blip2	36	1	1	8
blip2	36	1	1	9
blip2	36	1	1	10
blip2	36	2	1	2
blip2	36	2	1	3
blip2	36	2	1	4
blip2	36	2	1	5
